"Permit_ID","Permittee","Mine_Name","Bond_Amount","Avail_Bond","Bond_Type","Mine_Status","Bond_Status","Issue_Date","Acres","Anniversary","App_Date","App_No","Mine_Type","Post_SMCRA","Trans_From","Release_Date","Mountaintop","Underground","Steep_Slope","Auger_Mining","Non_AOC","Remining","Remining_Acres","Layer","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"1701819","NALLY & HAMILTON ENTERPRISES, INC.","RODA COMPLEX",415600,0,"","Phase 3","Released",NA,NA,NA,"2000/11/21",NA,"",1,"","","","","","","","",NA,"Bond_Status",415600,"[702]",238.93470096,51996.1524615,77994.2286968,103992.3049231,-363603.8475385,-337605.7713032,-311607.6950769
"1101861","PARAMONT COAL COMPANY VIRGINIA, LLC","LOVERS GAP #4 SURFACE MINE",0,0,"P","Released","Released",2000-09-28,0,2006-09-28,"",NA,"Surface-Contour/Surface - Auger/Surf-Steep Slop/Surface - Area",NA,"1101759","","N","Y","Y","Y","Y","N",0,"Released_Permit_Boundaries",0,"[1463]",135.80668466,27981.8719739,41972.8079659,55963.7439579,27981.8719739,41972.8079659,55963.7439579
"1101863","PARAMONT COAL COMPANY VIRGINIA, LLC","BLACK BEAR #3 SURFACE MINE",0,0,"P","Released","Released",2000-09-26,0,2003-09-26,"",NA,"Surf-Steep Slop/Surface-Contour/Surface - Auger",NA,"1101758","","N","Y","Y","Y","N","N",0,"Released_Permit_Boundaries",0,"[1400]",69.11203049,35207.33854,52811.00782,70414.67709,35207.33854,52811.00782,70414.67709
"1201874","PARAMONT COAL COMPANY VIRGINIA, LLC","STEELS FORK UPPER BANNER DEEP MINE (VICC #11)",0,0,"P","Released","Released",2002-08-27,0,2008-08-27,"",NA,"Surface - Auger/Undergrd. - R P",NA,"1201807","","N","Y","Y","Y","Y","Y",120.05,"Released_Permit_Boundaries",0,"[1161, 1166]",734.97796965,389321.63433,583982.45158,778643.26869,389321.63433,583982.45158,778643.26869
"1601872","PARAMONT COAL COMPANY VIRGINIA, LLC","LAWSON HOLLOW SURFACE/DEEP MINE",0,0,"P","Released","Released",2002-10-18,0,2007-10-18,"",NA,"Surface - Auger/Surface-Contour/Surf-Steep Slop/Undergrd. - R P",NA,"1601814","","N","Y","Y","Y","N","Y",155.61,"Released_Permit_Boundaries",0,"[1244]",68.03798358,35417.878426,53126.81763,70835.75684,35417.878426,53126.81763,70835.75684
"1501867","PARAMONT COAL COMPANY VIRGINIA, LLC","DALE RIDGE DOCK",0,0,"P","Released","Released",1986-12-19,0,2003-12-19,"",NA,"Surface - Area/Surface - Auger/AF-Load-out Fac/Surface-Contour",NA,"1300938","","N","Y","Y","Y","Y","Y",128.84,"Released_Permit_Boundaries",0,"[1173, 1176, 1171]",2733.80124036,1491519.354384,2237279.0314615,2983038.708725,1491519.354384,2237279.0314615,2983038.708725
"1101038","PARAMONT COAL CORPORATION","",0,0,"P","Released","Released",1987-07-13,0,NA,"",NA,"Surface-Contour",NA,"","","","","","","","",0,"Released_Permit_Boundaries",0,"[1045]",26.07374652,10436.65181,15654.97771,20873.30361,10436.65181,15654.97771,20873.30361
"1101347","PARAMONT COAL CORPORATION","DUCK CAMP BRANCH MINE",0,0,"P","Released","Released",1991-05-22,0,1993-05-22,"",NA,"Surface-Contour",NA,"","","","","","","","",0,"Released_Permit_Boundaries",0,"[1098]",227.9796634,61611.15447,92416.73171,123222.30895,61611.15447,92416.73171,123222.30895
"1101743","PARAMONT COAL CORPORATION","BIRCHFIELD #5 MINE",0,0,"P","Released","Released",2000-03-17,0,2003-03-17,"",NA,"Surf-Steep Slop/Surface - Auger/Undergrd. - R P/Surface-Contour",NA,"","","N","Y","Y","Y","Y","Y",195.31,"Released_Permit_Boundaries",0,"[1040]",272.22048092,264431.366787,396647.050171,528862.733565,264431.366787,396647.050171,528862.733565
"1102180","PARAMONT CONTURA, LLC","THREE FORKS SURFACE MINE",4950000,4950000,"P","ACTIVE","Bonded",2014-05-29,2060.74,2026-05-29,"2014/05/29",1011538,"Surface - Area/Surface - Auger/Surf-Steep Slop",1,"1102123","","N","Y","Y","Y","N","Y",122.04,"CSMO_Permit_Boundaries",4950000,"[1548]",759.93716987,473386.426561,710079.639808,946772.853204,-4476613.573439,-4239920.360192,-4003227.146796
