"Permit_ID","Permittee","Operator","Mine_Name","Bond_Amount","Avail_Bond","Mine_Status","Bond_Status","Mine_Type","Acres","Acres_Dist","Acres_Orig","Acres_Recl","Expir_Date","Issue_Date","PMLU","PMLU_2","Post_SMCRA","Vio_Active","Vio_Total","WebLink","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"S500908","COAL-MAC LLC","EAGLE CREEK MINING LLC","Seng Camp No. 2 A Mine",2525000,2525000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",522.56,91.71,70.9,156.09,2027-05-30,2008-09-18,"Forestland",NA,1,-999,4,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500908&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",2525000,"[1867, 1868, 1872, 1871, 1873]",853.54677724,522952.998791,784429.498162,1045905.997432,-2002047.001209,-1740570.501838,-1479094.002568
"S500900","COAL-MAC LLC","THUNDERHILL COAL COMPANY INC","CALLISTO SURFACE MINE",2460000,2460000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",557.5,109.91,1183.6,320.15,2026-11-15,2001-11-15,"Forestland",NA,1,3,53,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500900&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",2460000,"[2003, 2002]",537.90012672,270158.28842,405237.43262,540316.57687,-2189841.71158,-2054762.56738,-1919683.42313
"S501212","COAL-MAC LLC","","Sandlick Surface Mine",285000,285000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",471.7,43.9,471.7,12.5,2025-03-25,2015-03-25,"Forestland",NA,1,5,14,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501212&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",285000,"[1683, 1682]",469.16851559,235780.564396,353670.84664,471561.12884,-49219.435604,68670.84664,186561.12884
"S507091","COAL-MAC LLC","EAGLE CREEK MINING LLC","SING CAMP SURFACE #2",0,0,"Phase III Release","Released","Coal Surface Mine",90.8,0,220.76,0,2024-05-19,1994-05-19,"Fish and Wildlife Habitat/Recreation",NA,1,-999,11,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S507091&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",0,"[1875]",401.80808066,216014.61726,324021.925836,432029.234451,216014.61726,324021.925836,432029.234451
"S300812","CORNERSTONE MINING, LLC","","Gemini Surface Mine",3945000,3945000,"A4-Active, No coal removed","Bonded","Coal Surface Mine",850.1,342.95,728.51,111.46,2029-08-18,2014-08-18,"Forestland",NA,1,6,19,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S300812&dep_office_id=OMR&responsible_party_name=CORNERSTONE MINING, LLC",3945000,"[2333, 2329]",346.92456379,184676.119918,277014.179867,369352.239805,-3760323.880082,-3667985.820133,-3575647.760195
"S300117","CORNERSTONE MINING, LLC","","Jupiter Surface Mine",4560000,4560000,"A4-Active, No coal removed","Bonded","Coal Surface Mine",1187.2,490.41,921.97,66.18,2028-01-24,2018-01-24,"Forestland",NA,1,1,9,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S300117&dep_office_id=OMR&responsible_party_name=CORNERSTONE MINING, LLC",4560000,"[2326]",288.25053447,93363.55283,140045.32925,186727.10567,-4466636.44717,-4419954.67075,-4373272.89433
"S402309","CORNERSTONE MINING, LLC","","Puncheoncamp Surface Mine",385840,385840,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",179.06,34.15,174.54,31.49,2027-03-30,2012-03-30,"Forestland",NA,1,-999,1,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S402309&dep_office_id=OMR&responsible_party_name=CORNERSTONE MINING, LLC",385840,"[2264, 2269]",636.24042465,333377.02931,500065.54394,666754.05867,-52462.97069,114225.54394,280914.05867
"S501702","COVINGTON COAL COMPANY, LLC","BUNDY AUGER MINING, INC.","Bull Creek Surface Mine",1935000,1935000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",383.75,53.07,356.47,215.9,2018-10-16,2003-10-16,"Forestland",NA,1,18,70,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501702&dep_office_id=OMR&responsible_party_name=COVINGTON COAL COMPANY, LLC",1935000,"[1944, 2000]",533.32103518,323784.413621,485676.620476,647568.827281,-1611215.586379,-1449323.379524,-1287431.172719
"S400691","DAYTON RESOURCES COMPANY","",NA,0,0,"Phase III Release","Released","Coal Surface Mine",96.73,129.57,137.89,126.04,1996-09-24,1991-09-24,"Fish and Wildlife Habitat/Recreation",NA,1,-999,7,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400691&dep_office_id=OMR&responsible_party_name=DAYTON RESOURCES COMPANY",0,"[2071]",66.05007031,18238.66158,27357.99237,36477.32316,18238.66158,27357.99237,36477.32316
"S502799","ERP ENVIRONMENTAL FUND, INC.","","HEWITT CREEK SURFACE MINE NO.",2400000,2400000,"NS-Not Started","Bonded","Coal Surface Mine",480,215.9,411,246.7,2027-11-29,2002-12-20,"Forestland","Fish and Wildlife Habitat/Recreation",1,7,43,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S502799&dep_office_id=OMR&responsible_party_name=ERP ENVIRONMENTAL FUND, INC.",2400000,"[1866, 1847, 1853, 1848]",1997.94157934,1162538.917956,1743808.376939,2325077.83597,-1237461.082044,-656191.623061,-74922.1640300006
