"Highwall_ID","State","Num_Segments","Rec_Status","Rec_Status_Yr","Earliest_Vis_Yr","First_Mined_Yr","Last_Mined_Yr","Max_Age","Min_Age","Mid_Age","Age_Uncertainty","Raw_Length","Length","Max_Top_Elevation","Min_Base_Elevation","Avg_Height","Min_Cost","Mid_Cost","Max_Cost","Lidar_Yr","Lidar_Project","All_Permit_IDs","Max_Slope","Mean_Slope","Med_Slope","Permit_ID","Permittee","Mine_Name","Avail_Bond","Full_Bond","Mine_Status","Bond_Status","Post_SMCRA"
315,"Kentucky",1,"Revegetated",2024,1995,1985,1987,40,29,34.5,5.5,108.2665942,103.1841198,412.833135,395.3089262,17.52420877,51807.3172,77710.97581,103614.6344,2023,1,"[8665183]",60,51.86363636,52,"8665183","BLACKJEWEL, L.L.C., BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","",1144600,1144600,"Surety Reclamation","Bonded",NA
316,"Kentucky",4,"Revegetated",2022,1995,1990,1995,35,27,31,4,415.2737767,390.94905778,320.8190007,301.1801451,14.722766895,140762.55225,211143.82838,281525.10451,2023,1,"[298573X, 8130325, 8130139]",59,49.64935065,50,"8130325","NORTH FORK COLLIERIES, LLC","",552700,552700,"Final Forfeiture","Forfeited",1
319,"Kentucky",1,"Unreclaimed",2024,2010,2010,2019,15,14,14.5,0.5,126.8746137,122.9427511,631.3283835,613.3226366,18.00574697,65166.833,97750.2495,130333.666,2023,1,"[8480132]",60,51.78125,51.5,"8480132","DEBRA LYNN COALS INC","DEBRA LYNN COALS INC",0,0,"Permit Released","Released",1
324,"Kentucky",3,"Revegetated",2023,1995,2014,2015,28,28,28,0,203.76677753,190.20066497,628.1827113,608.4358483,17.6631318133333,103828.14073,155742.21107,207656.28144,2023,1,"[8480413]",58,49.65789474,50.5,"8480413","INMET MINING, LLC","",541000,541000,"Reclamation Only","Bonded",NA
325,"Kentucky",1,"Revegetated",2023,2008,2008,2009,17,15,16,1,109.198503,102.733631,643.3168722,632.4404597,10.87641252,19869.42882,29804.14323,39738.85764,2023,1,"[8480413]",59,50.28571429,49.5,"8480413","INMET MINING, LLC","",541000,541000,"Reclamation Only","Bonded",NA
326,"Kentucky",4,"Revegetated",2024,1995,1991,2002,34,29,31.5,2.5,325.32490098,311.75087395,444.6957934,420.9407341,18.1878194125,202410.93897,303616.40839,404821.87788,2023,1,"[8970298]",64,51.38596491,52,"8970298","LESLIE RESOURCES INC","MINE NO 1",0,0,"Permit Released","Released",1
327,"Kentucky",2,"Unreclaimed",2022,1995,1984,2023,41,27,34,7,150.42256938,145.17804553,280.1704018,260.9764506,14.274967695,48357.70178,72536.55267,96715.40356,2023,1,"[8130081]",58,50.47619048,50,"8130081","JACKSON EXCAVATING CO INC","",0,0,"Permit Released","Released",1
328,"Kentucky",5,"Revegetated",2023,2010,2014,2015,13,13,13,0,184.95894121,173.86588501,637.7025757,612.1555623,11.7172734848,62613.590965,93920.386457,125227.181949,2023,1,"[8480413]",61,53.03225806,55,"8480413","INMET MINING, LLC","",541000,541000,"Reclamation Only","Bonded",NA
329,"Kentucky",3,"Revegetated",2023,2010,2014,2015,13,13,13,0,142.86721575,132.26776641,632.8328665,609.2018185,13.8445440533333,60627.015621,90940.523421,121254.031232,2023,1,"[8480413]",61,53.26923077,53,"8480413","INMET MINING, LLC","",541000,541000,"Reclamation Only","Bonded",NA
331,"Kentucky",1,"Revegetated",2023,2010,2010,2011,15,13,14,1,86.45977069,82.28625789,634.6001286,617.1524056,17.44772301,40954.93407,61432.40111,81909.86815,2023,1,"[8480413]",61,53.58333333,54,"8480413","INMET MINING, LLC","",541000,541000,"Reclamation Only","Bonded",NA
338,"Kentucky",1,"Revegetated",2024,1995,1985,1994,40,29,34.5,5.5,101.9178788,97.23762824,310.7868516,295.1836141,15.60323755,38704.83323,58057.24984,77409.66645,2023,1,"[4668003]",61,52.8,52,"4668003","SHAMROCK COAL COMPANY INCORPORATED","",0,0,"Permit Released","Released",1
343,"Kentucky",2,"Revegetated",2023,1995,1984,1989,41,28,34.5,6.5,172.49025241,162.94264463,671.8913624,645.6908497,17.447427845,81652.68827,122479.0324,163305.37649,2023,1,"[8480023, 8480172, 8485357, 8485426]",61,49.94520548,51,"8485357","MANALAPAN MINING COMPANY INC","#4 & #5 MINE",272400,272400,"Voluntary Forfeiture","Forfeited",1
344,"Kentucky",5,"Unreclaimed",2024,2019,1984,2023,41,5,23,18,494.80346873,475.34758078,416.5747429,392.5711743,18.552959702,269959.23077,404938.84615,539918.46155,2023,1,"[0130048, 4130048, 8130169, 8970569]",65,50.12121212,51,"8970569","PINE BRANCH MINING, LLC","Combs Branch Mine",5230900,5230900,"Actively Producing","Bonded",1
348,"Kentucky",6,"Unreclaimed",2024,2010,2010,2023,15,14,14.5,0.5,511.78603548,492.34328405,412.7619014,353.9002991,25.2212111983333,854064.134457,1281096.201785,1708128.26942,2023,1,"[0130048, 4130048, 8130169, 8970569]",75,56.84745763,55,"8970569","PINE BRANCH MINING, LLC","Combs Branch Mine",5230900,5230900,"Actively Producing","Bonded",1
349,"Kentucky",3,"Revegetated",2023,1995,1984,1990,41,28,34.5,6.5,268.54668984,257.92108852,667.0449696,645.0521666,17.39584413,130170.43662,195255.65493,260340.87324,2023,1,"[8480023, 8480172, 8485357, 8485426]",61,52.69811321,53,"8485357","MANALAPAN MINING COMPANY INC","#4 & #5 MINE",272400,272400,"Voluntary Forfeiture","Forfeited",1
